arrow_count,has_left_1,has_right_1,has_forward_1,confidence_1,x_min_1,y_min_1,x_max_1,y_max_1,has_left_2,has_right_2,has_forward_2,confidence_2,x_min_2,y_min_2,x_max_2,y_max_2,has_left_3,has_right_3,has_forward_3,confidence_3,x_min_3,y_min_3,x_max_3,y_max_3,direction
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
3,0,1,0,0.4679620862007141,1.11346435546875,0.0,462.55126953125,225.09771728515625,1,0,0,0.4202238619327545,148.81121826171875,278.46734619140625,279.6663818359375,409.26641845703125,1,0,0,0.36144399642944336,150.9930419921875,437.3774108886719,266.663818359375,478.9257507324219,forward
3,0,1,0,0.831854522228241,0.01983642578125,0.0,466.3528747558594,305.256103515625,0,0,1,0.7059728503227234,72.49567413330078,431.41058349609375,263.72210693359375,480.0,1,0,0,0.3291570544242859,130.785400390625,317.7623291015625,273.510498046875,400.481689453125,forward
2,0,0,1,0.8703324794769287,16.535308837890625,424.0503845214844,236.29885864257812,480.0,0,1,0,0.5480684638023376,0.253143310546875,0.0,359.17767333984375,321.41326904296875,0,0,0,0,0,0,0,0,right
1,0,1,0,0.5198044180870056,6.1697998046875,0.0,557.9249267578125,379.295654296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
1,0,1,0,0.28885287046432495,0.053466796875,0.0,295.640869140625,342.05169677734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
1,0,0,1,0.8235365748405457,0.0,0.0,523.8675537109375,194.2406463623047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
3,0,0,1,0.34610632061958313,141.30026245117188,384.65045166015625,275.33258056640625,480.0,0,0,1,0.32129207253456116,137.94912719726562,441.39990234375,275.7544250488281,479.94464111328125,0,1,0,0.2809666097164154,0.0,0.0,474.4010009765625,407.2139587402344,forward
2,1,0,0,0.3710273206233978,138.84017944335938,433.7578125,276.6619567871094,480.0,1,0,0,0.26319098472595215,139.12576293945312,384.06365966796875,276.7101135253906,480.0,0,0,0,0,0,0,0,0,forward
1,0,1,0,0.6360806226730347,0.10443115234375,0.0,467.2135009765625,273.9299011230469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
3,0,1,0,0.9221940636634827,0.0,395.19671630859375,161.79379272460938,480.0,0,0,1,0.8640065789222717,164.58840942382812,361.17706298828125,354.6843566894531,439.34906005859375,1,0,0,0.6404207944869995,398.01702880859375,299.73736572265625,554.744140625,385.47979736328125,left
3,0,1,0,0.9128711223602295,0.0,395.0547790527344,163.00875854492188,480.0,0,0,1,0.8700953125953674,166.35537719726562,360.33001708984375,361.3144836425781,439.03057861328125,1,0,0,0.5093840956687927,400.8658447265625,298.5458984375,566.8548583984375,381.55804443359375,forward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right
1,0,1,0,0.3311828672885895,2.119781494140625,0.0,507.3263244628906,413.6343994140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right
1,0,0,1,0.9124163389205933,467.9410400390625,378.098876953125,639.560302734375,479.6307373046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right
3,0,0,1,0.8847376108169556,453.1761474609375,411.89739990234375,639.323974609375,480.0,1,0,0,0.682945728302002,277.44683837890625,402.65704345703125,410.2845458984375,480.0,0,0,1,0.364999383687973,276.5185546875,403.12384033203125,410.5279541015625,480.0,forward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right
2,1,0,0,0.8573474287986755,141.44207763671875,360.25836181640625,286.58392333984375,449.70123291015625,0,1,0,0.7910169959068298,3.593292236328125,0.0,484.6712646484375,350.28460693359375,0,0,0,0,0,0,0,0,forward
2,1,0,0,0.8922531604766846,141.63726806640625,359.95355224609375,282.5484619140625,448.65142822265625,0,1,0,0.5408552885055542,0.0,0.0,471.91278076171875,351.77679443359375,0,0,0,0,0,0,0,0,forward
1,0,0,1,0.5229122042655945,0.0,0.0,522.355712890625,239.60902404785156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
1,1,0,0,0.6618626713752747,409.1953125,420.84649658203125,611.1781616210938,480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,right
1,0,1,0,0.38529884815216064,0.02092742919921875,307.46734619140625,99.86846923828125,450.54095458984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
2,0,1,0,0.7438216805458069,0.228851318359375,0.0,465.545654296875,293.2464599609375,0,1,0,0.7213261127471924,0.23924636840820312,321.02484130859375,63.682071685791016,398.65997314453125,0,0,0,0,0,0,0,0,left
2,0,1,0,0.2967529296875,3.5341796875,0.0,545.3441162109375,273.6070251464844,0,1,0,0.28060343861579895,0.0,0.0,451.55828857421875,416.64031982421875,0,0,0,0,0,0,0,0,forward
1,1,0,0,0.745867133140564,376.0799560546875,272.30157470703125,529.5128173828125,480.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
3,1,0,0,0.9029679894447327,212.8739013671875,397.000244140625,440.819580078125,480.0,1,0,0,0.7794115543365479,215.23712158203125,423.1684875488281,439.524169921875,479.3182067871094,1,0,0,0.5509486198425293,82.37445068359375,433.2785949707031,206.35098266601562,479.8132629394531,right
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
2,0,1,0,0.43322259187698364,0.145233154296875,326.78863525390625,70.65985107421875,469.037841796875,0,1,0,0.2984651029109955,0.5109786987304688,329.90399169921875,70.29888153076172,405.96173095703125,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,left
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,forward
